Country/Region,Date,total_cases,total_recovered,total_deaths,new_cases,new_recovered,new_deaths,infected_7,gr_infected_7
Germany,2020-03-03,196,16,0,37.0,0.0,0.0,173.2857142857143,0.08984725965858065
Germany,2020-03-04,262,16,0,66.0,0.0,0.0,214.53061224489798,0.23801672358968307
Germany,2020-03-05,482,16,0,220.0,0.0,0.0,403.88338192419826,0.8826375298978038
Germany,2020-03-06,670,17,0,188.0,1.0,0.0,534.1857559350271,0.32262375686277767
Germany,2020-03-07,799,18,0,129.0,1.0,0.0,586.8735050871662,0.0986318870669165
Germany,2020-03-08,1040,18,0,241.0,0.0,0.0,744.0344329318568,0.26779353043267484
Germany,2020-03-09,1176,18,2,136.0,0.0,2.0,773.7437996558773,0.03993009652382762
Germany,2020-03-10,1457,18,2,281.0,0.0,0.0,944.2089711336091,0.22031216476764826
Germany,2020-03-11,1908,25,3,451.0,7.0,1.0,1260.3219752573793,0.3347913584682929
Germany,2020-03-12,2078,25,3,170.0,0.0,0.0,1250.2759787920395,-0.007970976197005708
Germany,2020-03-13,3675,46,7,1597.0,21.0,4.0,2668.665124678891,1.1344608470021438
Germany,2020-03-14,4585,46,9,910.0,0.0,2.0,3197.427249724764,0.19813730848283062
Germany,2020-03-15,5795,46,11,1210.0,0.0,2.0,3950.651928335512,0.2355721083804443
Germany,2020-03-16,7272,67,17,1477.0,21.0,6.0,4863.27308143044,0.23100520360937815
Germany,2020-03-17,9257,67,24,1985.0,0.0,7.0,6153.519784083234,0.2653041852778897
Germany,2020-03-18,12327,105,28,3070.0,38.0,4.0,8344.445529214201,0.3560443164248923
Germany,2020-03-19,15320,113,44,2993.0,8.0,16.0,10145.381882183601,0.21582456817103757
Germany,2020-03-20,19848,180,67,4528.0,67.0,23.0,13224.04161330023,0.30345429742009933
Germany,2020-03-21,22213,233,84,2365.0,53.0,17.0,13699.8928114002,0.035983794668445146
Germany,2020-03-22,24873,266,94,2660.0,33.0,10.0,14402.765266914457,0.051304960205920125
Germany,2020-03-23,29056,266,123,4183.0,0.0,29.0,16528.22737164096,0.147573196211775
Germany,2020-03-24,32986,3243,157,3930.0,2977.0,34.0,18097.052032835112,0.09491790171557835
Germany,2020-03-25,37323,3547,206,4337.0,304.0,49.0,19848.75888528724,0.09679514924717281
Germany,2020-03-26,43938,5673,267,6615.0,2126.0,61.0,23628.221901674777,0.19041306502992694
Germany,2020-03-27,50871,6658,342,6933.0,985.0,75.0,27185.761630006953,0.15056315888416538
Germany,2020-03-28,57695,8481,433,6824.0,1823.0,91.0,30126.081397148817,0.10815660812299677
Germany,2020-03-29,62095,9211,533,4400.0,730.0,100.0,30222.355483270418,0.003195705569948748
Germany,2020-03-30,66885,13500,645,4790.0,4289.0,112.0,30694.876128517502,0.015634805351576464
Germany,2020-03-31,71808,16100,775,4923.0,2600.0,130.0,31232.893824443574,0.017527931817461262
